	Heere bigynneth the Knyghtes Tale.	Here begins the Knight's Tale.
	Iamque domos patrias, Sithice post	And now (Theseus drawing nigh his) native land in
	aspera gentis prelia,laurigero, etc.	laurelled car after battling with the Scithian folk, etc.
2020	The cook yscalded, for al his longe ladel.		The cook scalded, despite his long-handled spoon.
2021	Noght was foryeten by the infortune of Marte.		Nothing concerning the evil influence of Mars was forgotten.
2022	The cartere overryden with his carte --		The wagon driver run over by his wagon --
2023	Under the wheel ful lowe he lay adoun.		He lay down full low under the wheel.
2024	Ther were also, of Martes divisioun,		There were also, of those influenced by Mars,
2025	The barbour, and the bocher, and the smyth,		The barber, and the butcher, and the smith,
2026	That forgeth sharpe swerdes on his styth.		Who forges sharp swords on his anvil.
2027	And al above, depeynted in a tour,		And all above, painted in a tower,
2028	Saugh I Conquest, sittynge in greet honour,		I saw conquest, sitting in great honor,
2029	With the sharpe swerd over his heed		With the sharp sword over his head
2030	Hangynge by a soutil twynes threed.		Hanging by a thin thread of twine.
2031	Depeynted was the slaughtre of Julius,		Depicted was the slaughter of Julius,
2032	Of grete Nero, and of Antonius;		Of great Nero, and of Antonius;
2033	Al be that thilke tyme they were unborn,		Although at that same time they were unborn,
2034	Yet was hir deth depeynted ther-biforn		Yet was their death depicted before then
2035	By manasynge of Mars, right by figure;		By menacing of Mars, according to the horoscope;
2036	So was it shewed in that portreiture,		So was it shown in that portraiture,
2037	As is depeynted in the sterres above		As is depicted in the stars above
2038	Who shal be slayn or elles deed for love.		Who shall be slain or else dead for love.
2039	Suffiseth oon ensample in stories olde;		Suffices one illustrative tale in old histories;
2040	I may nat rekene hem alle though I wolde.		I can not recount them all even if I desired to.
2041	The statue of Mars upon a carte stood		The statue of Mars stood upon a chariot
2042	Armed, and looked grym as he were wood;		Armed, and looked as grim as if he were mad;
2043	And over his heed ther shynen two figures		And over his head there shine two figures
2044	Of sterres, that been cleped in scriptures,		Of stars, that are called in books,
2045	That oon Puella, that oother Rubeus --		That one Puella, that other Rubeus --
2046	This god of armes was arrayed thus.		This god of arms was arrayed thus.
2047	A wolf ther stood biforn hym at his feet		A wolf stood there before him at his feet
2048	With eyen rede, and of a man he eet;		With red eyes, and he ate of a man;
2049	With soutil pencel was depeynted this storie		With subtle brush was depicted this story
2050	In redoutynge of Mars and of his glorie.		In reverence of Mars and of his glory.
2051	Now to the temple of Dyane the chaste,		Now to the temple of Diana the chaste,
2052	As shortly as I kan, I wol me haste,		As briefly as I can, I will hasten myself,
2053	To telle yow al the descripsioun.		To tell you all the description.
2054	Depeynted been the walles up and doun		The walls are painted all over
2055	Of huntyng and of shamefast chastitee.		(With scenes) of hunting and of modest chastity.
2056	Ther saugh I how woful Calistopee,		There I saw how woeful Callisto,
2057	Whan that Diane agreved was with here,		When Diana was angry with her,
2058	Was turned from a womman til a bere,		Was turned from a woman into a bear,
2059	And after was she maad the loode-sterre.		And after she was made the North Star
2060	Thus was it peynted; I kan sey yow no ferre.		Thus was it painted; I can tell you no more.
2061	Hir sone is eek a sterre, as men may see.		Her son is also a star, as one can see.
2062	Ther saugh I Dane, yturned til a tree --		There I saw Daphne, turned into a tree --
2063	I mene nat the goddesse Diane,		I mean not the goddess Diana,
2064	But Penneus doghter, which that highte Dane.		But Penneus' daughter, who is called Daphne.
2065	Ther saugh I Attheon an hert ymaked,		There I saw Actaeon changed into a hart,
2066	For vengeaunce that he saugh Diane al naked;		For vengeance that he saw Diana all naked;
2067	I saugh how that his houndes have hym caught		I saw how his hounds have caught him
2068	And freeten hym, for that they knewe hym naught.		And devoured him, because they did not know him.
2069	Yet peynted was a litel forther moor		Yet was painted a little further on
2070	How Atthalante hunted the wilde boor,		How Atalanta hunted the wild boar,
2071	And Meleagre, and many another mo,		And Meleager, and many more others,
2072	For which Dyane wroghte hym care and wo.		For which Diana wrought him care and woe.
2073	Ther saugh I many another wonder storie,		There I saw many another wonderful story,
2074	The which me list nat drawen to memorie.		The which I do not desire to call to mind.
2075	This goddesse on an hert ful hye seet,		This goddess sat full high on a hart,
2076	With smale houndes al aboute hir feet,		With small hounds all about her feet,
2077	And undernethe hir feet she hadde a moone --		And underneath her feet she had a moon --
2078	Wexynge it was and sholde wanye soone.		Waxing it was and should wane soon.
2079	In gaude grene hir statue clothed was,		Her statue was clothed in yellowish green,
2080	With bowe in honde and arwes in a cas.		With bow in hand and arrows in a quiver.
2081	Hir eyen caste she ful lowe adoun		She cast her eyes down full low
2082	Ther Pluto hath his derke regioun.		Where Pluto has his dark region.
2083	A womman travaillynge was hire biforn;		A woman in childbirth was before her;
2084	But for hir child so longe was unborn,		But because her child was so long unborn,
2085	Ful pitously Lucyna gan she calle		Very piteously did she call on Lucina
2086	And seyde, "Help, for thou mayst best of alle!"		And said, "Help, for thou canst (do so) best of all!"
2087	Wel koude he peynten lifly that it wroghte;		He who made it well knew how to paint in a life-like manner;
2088	With many a floryn he the hewes boghte.		With many a florin he bought the paints.
2089	Now been thise lystes maad, and Theseus,		Now these lists are made, and Theseus,
2090	That at his grete cost arrayed thus		Who at his great cost thus prepared
2091	The temples and the theatre every deel,		The temples and the theatre in all respects,
2092	Whan it was doon, hym lyked wonder weel.		When it was done, it greatly pleased him.
2093	But stynte I wole of Theseus a lite,		But I will stop speaking of Theseus a little while,
2094	And speke of Palamon and of Arcite.		And speak of Palamon and of Arcite.
2095	The day approcheth of hir retournynge,		The day of their return approaches,
2096	That everich sholde an hundred knyghtes brynge		When each one should bring a hundred knights
2097	The bataille to darreyne, as I yow tolde.		To decide the battle, as I told you.
2098	And til Atthenes, hir covenant for to holde,		And to Athens, to keep their agreement,
2099	Hath everich of hem broght an hundred knyghtes,		Each one of them has brought a hundred knights,
2100	Wel armed for the werre at alle rightes.		Well armed for the battle in all respects.
2101	And sikerly ther trowed many a man		And surely many a man there believed
2102	That nevere, sithen that the world bigan,		That never, since the world began,
2103	As for to speke of knyghthod of hir hond,		To speak of knighthood of (the deeds of) their hand,
2104	As fer as God hath maked see or lond,		As far as God has made sea or land,
2105	Nas of so fewe so noble a compaignye.		Was not of so few so noble a company.
2106	For every wight that lovede chivalrye		For every person that loved chivalry
2107	And wolde, his thankes, han a passant name,		And would, willingly, have an outstanding reputation
2108	Hath preyed that he myghte been of that game;		Has prayed that he might participate in that game;
2109	And wel was hym that therto chosen was,		And well it was for him who was chosen to be there,
2110	For if ther fille tomorwe swich a cas,		For if there fell tomorrow such a situation,
2111	Ye knowen wel that every lusty knyght		You know well that every vigorous knight
2112	That loveth paramours and hath his myght,		Who loves passionately and has his might,
2113	Were it in Engelond or elleswhere,		Were it in England or elsewhere,
2114	They wolde, hir thankes, wilnen to be there --		They would, willingly, desire to be there --
2115	To fighte for a lady, benedicitee!		To fight for a lady, bless me!
2116	It were a lusty sighte for to see.		It would be a pleasing sight to see.
2117	And right so ferden they with Palamon.		And right so fared those with Palamon.
2118	With hym ther wenten knyghtes many on;		With him there went knights many a one;
2119	Som wol ben armed in an haubergeoun,		One of them will be armed in a coat of mail,
2120	And in a brestplate and a light gypoun;		And in a breastplate and a light tunic;
2121	And som wol have a paire plates large;		And one of them will have a set of plate armor;
2122	And som wol have a Pruce sheeld or a targe;		And one of them will have a Prussian shield or a buckler;
2123	Som wol ben armed on his legges weel,		One of them will be well armed on his legs,
2124	And have an ax, and som a mace of steel --		And have an axe, and one a mace of steel --
2125	Ther is no newe gyse that it nas old.		There is no new fashion that has not been old.
2126	Armed were they, as I have yow told,		They were armed, as I have told you,
2127	Everych after his opinioun.		Every one according to his preference.
2128	Ther maistow seen, comynge with Palamoun,		There mayst thou seen, coming with Palamon,
2129	Lygurge hymself, the grete kyng of Trace.		Lycurgus himself, the great king of Thrace.
2130	Blak was his berd, and manly was his face;		Black was his beard, and manly was his face;
2131	The cercles of his eyen in his heed,		The circles of his eyes in his head,
2132	They gloweden bitwixen yelow and reed,		They glowed between yellow and red,
2133	And lik a grifphon looked he aboute,		And he looked about like a griffin (with an eagle's head),
2134	With kempe heeris on his browes stoute;		With shaggy hairs on his stout brows;
2135	His lymes grete, his brawnes harde and stronge,		His limbs large, his muscles hard and strong,
2136	His shuldres brode, his armes rounde and longe;		His shoulders broad, his arms round and long;
2137	And as the gyse was in his contree,		And as was the fashion in his country,
2138	Ful hye upon a chaar of gold stood he,		He stood full high upon a chariot of gold,
2139	With foure white boles in the trays.		With four white bulls in the traces.
2140	In stede of cote-armure over his harnays,		Instead of a tunic with his coat of arms over his armor,
2141	With nayles yelewe and brighte as any gold,		With claws yellow and bright as any gold,
2142	He hadde a beres skyn, col-blak for old.		He had a bear's skin, coal-black because of age.
2143	His longe heer was kembd bihynde his bak;		His long hair was combed behind his back;
2144	As any ravenes fethere it shoon for blak;		Like any raven's feather it shone because of its blackness;
2145	A wrethe of gold, arm-greet, of huge wighte,		A wreath of gold, thick as an arm, of huge weight,
2146	Upon his heed, set ful of stones brighte,		Upon his head, set full of bright stones,
2147	Of fyne rubyes and of dyamauntz.		Of fine rubies and of diamonds.
2148	Aboute his chaar ther wenten white alauntz,		About his chariot there went white wolfhounds,
2149	Twenty and mo, as grete as any steer,		Twenty and more, as big as any steer,
2150	To hunten at the leoun or the deer,		To hunt for the lion or the deer,
2151	And folwed hym with mosel faste ybounde,		And followed him with muzzles securely bound,
2152	Colered of gold, and tourettes fyled rounde.		Wearing collars of gold, and rings for leashes filed round.
2153	An hundred lordes hadde he in his route,		He had a hundred lords in his company,
2154	Armed ful wel, with hertes stierne and stoute.		Very well armed, with stern and stout hearts.
2155	With Arcita, in stories as men fynde,		With Arcite, as people find in histories,
2156	The grete Emetreus, the kyng of Inde,		The great Emetreus, the king of India,
2157	Upon a steede bay trapped in steel,		Upon a reddish-brown steed with trappings of steel,
2158	Covered in clooth of gold, dyapred weel,		Covered in cloth of gold, well decorated (with geometric patterns),
2159	Cam ridynge lyk the god of armes, Mars.		Came riding like the god of arms, Mars.
2160	His cote-armure was of clooth of Tars		His tunic with his coat of arms was of cloth of Tarsia (in Turkestan)
2161	Couched with perles white and rounde and grete;		Adorned with pearls white and round and big;
2162	His sadel was of brend gold newe ybete;		His saddle was newly adorned with pure gold;
2163	A mantelet upon his shulder hangynge,		A short cloak hanging upon his shoulder,
2164	Bret-ful of rubyes rede as fyr sparklynge;		Brimful of rubies red as sparkling fire;
2165	His crispe heer lyk rynges was yronne,		His curly hair like rings was run (fashioned),
2166	And that was yelow, and glytered as the sonne.		And that was yellow, and glittered like the sun.
2167	His nose was heigh, his eyen bright citryn,		His nose was high, his eyes bright lemon yellow,
2168	His lippes rounde, his colour was sangwyn;		His lips round, his color was ruddy;
2169	A fewe frakenes in his face yspreynd,		A few freckles were sprinkled in his face,
2170	Bitwixen yelow and somdel blak ymeynd;		Between yellow and somewhat mingled with black;
2171	And as a leon he his lookyng caste.		And as a lion he cast about his look.
2172	Of fyve and twenty yeer his age I caste.		I reckon his age at five and twenty years.
2173	His berd was wel bigonne for to sprynge;		His beard had well begun to spring;
2174	His voys was as a trompe thonderynge.		His voice was like a trumpet thundering.
2175	Upon his heed he wered of laurer grene		Upon his head he wore of green laurel
2176	A gerland, fressh and lusty for to sene.		A garland, fresh and pleasing to look upon.
2177	Upon his hand he bar for his deduyt		Upon his hand he carried for his delight
2178	An egle tame, as any lilye whyt.		A tame eagle, white as any lily.
2179	An hundred lordes hadde he with hym there,		He had a hundred lords with him there,
2180	Al armed, save hir heddes, in al hir gere,		All armed, except for their heads, in all their equipment,
2181	Ful richely in alle maner thynges.		Very richly in every detail.
2182	For trusteth wel that dukes, erles, kynges		For trust well that dukes, earls, kings
2183	Were gadered in this noble compaignye,		Were gathered in this noble company,
2184	For love and for encrees of chivalrye.		For love and for the benefit of chivalry.
2185	Aboute this kyng ther ran on every part		About this king there ran on all sides
2186	Ful many a tame leon and leopart.		Full many a tame lion and leopard.
2187	And in this wise thise lordes, alle and some,		And in this manner these lords, one and all,
2188	Been on the Sonday to the citee come		Are come to the city on the Sunday
2189	Aboute pryme, and in the toun alight.		About nine a.m., and in the town dismounted.
2190	This Theseus, this duc, this worthy knyght,		This Theseus, this duke, this worthy knight,
2191	Whan he had broght hem into his citee,		When he had brought them into his city,
2192	And inned hem, everich at his degree,		And provided them lodging, each one according to his rank,
2193	He festeth hem, and dooth so greet labour		He feasts them, and does such great labor
2194	To esen hem and doon hem al honour		To entertain them and do them all honor
2195	That yet men wenen that no mannes wit		That people still believe that the wit of no man
2196	Of noon estaat ne koude amenden it.		Of any rank could do better.
2197	The mynstralcye, the service at the feeste,		The music, the service at the feast,
2198	The grete yiftes to the meeste and leeste,		The great gifts to every one,
2199	The riche array of Theseus paleys,		The rich adornment of Theseus' palace,
2200	Ne who sat first ne last upon the deys,		Nor who sat first nor last upon the dais,
2201	What ladyes fairest been or best daunsynge,		What ladies are fairest or best in dancing,
2202	Or which of hem kan dauncen best and synge,		Or which of them can dance best and sing,
2203	Ne who moost felyngly speketh of love;		Nor who speaks most feelingly of love;
2204	What haukes sitten on the perche above,		What hawks sit on the perch above,
2205	What houndes liggen on the floor adoun --		What hounds lie down on the floor --
2206	Of al this make I now no mencioun,		I now make no mention of all this,
2207	But al th' effect; that thynketh me the beste.		But (speak only) of the substance; that seems to me the best.
2208	Now cometh the point, and herkneth if yow leste.		Now comes the point, and listen if you please.
2209	The Sonday nyght, er day bigan to sprynge,		The Sunday night, before day began to spring,
2210	Whan Palamon the larke herde synge		When Palamon heard the lark sing
2211	(Although it nere nat day by houres two,		(Although it was not day by two hours,
2212	Yet the larke sang) and Palamon right then		Yet sang the lark) and Palamon right then
2213	With hooly herte and with an heigh corage,		With pious heart and with a noble disposition,
2214	He roos to wenden on his pilgrymage		He rose to go on his pilgrimage
2215	Unto the blissful Citherea benign --		To the blessed gracious Citherea --
2216	I mene Venus, honurable and digne.		I mean Venus, honorable and worshipful.
2217	And in hir houre he walketh forth a pas		And in her (planetary) hour he walks forth slowly
2218	Unto the lystes ther hire temple was,		Unto the lists where her temple was,
2219	And doun he kneleth, and with humble cheere		And down he kneels, and with humble expression
2220	And herte soor he seyde as ye shal heere:		And painful heart he said as you shall hear:
2221	"Faireste of faire, O lady myn, Venus,		"Fairest of the fair, O lady mine, Venus,
2222	Doughter to Jove and spouse of Vulcanus,		Daughter to Jove and spouse of Vulcan,
2223	Thow gladere of the mount of Citheron,		Thou maker of joy of the mount of Citheron,
2224	For thilke love thow haddest to Adoon,		For that same love thou haddest to Adonis,
2225	Have pitee of my bittre teeris smerte,		Have pity on my bitter, smarting tears,
2226	And taak myn humble preyere at thyn herte.		And take my humble prayer to thy heart.
2227	Allas! I ne have no langage to telle		Alas! I do not have any language to tell
2228	Th'effectes ne the tormentz of myn helle;		The effects nor the torments of my hell;
2229	Myn herte may myne harmes nat biwreye;		My heart can not reveal my harms;
2230	I am so confus that I kan noght seye		I am so befuddled that I can not say (anything)
2231	But `Mercy, lady bright, that knowest weele		But `Mercy, lady bright, who knowest well
2232	My thought and seest what harmes that I feele!'		My thought and seest what harms I feel!'
2233	Considere al this and rewe upon my soore,		Consider all this and have pity upon my pain,
2234	As wisly as I shal for everemoore,		As surely as I shall for evermore,
2235	Emforth my myght, thy trewe servant be,		According to my power (as much as I can), be thy true servant,
2236	And holden werre alwey with chastitee.		And make war always against chastity.
2237	That make I myn avow, so ye me helpe!		I make that my vow, providing you help me!
2238	I kepe noght of armes for to yelpe,		I care not to boast of arms
2239	Ne I ne axe nat tomorwe to have victorie,		Nor do I ask to have victory tomorrow,
2240	Ne renoun in this cas, ne veyne glorie		Nor renown in this case, nor vain glory
2241	Of pris of armes blowen up and doun;		Nor fame for deeds of arms proclaimed everywhere;
2242	But I wolde have fully possessioun		But I would have fully possession
2243	Of Emelye, and dye in thy servyse.		Of Emelye, and die in thy service.
2244	Fynd thow the manere hou and in what wyse:		Find thou the manner how and in what way:
2245	I recche nat but it may bettre be		I care not if it may better be
2246	To have victorie of hem, or they of me,		To have victory over them, or they over me,
2247	So that I have my lady in myne armes.		So that I have my lady in my arms.
2248	For though so be that Mars is god of armes,		For though it be true that Mars is god of arms,
2249	Youre vertu is so greet in hevene above		Your power is so great in heaven above
2250	That if yow list, I shal wel have my love.		That if you please, I shall well have my love.
2251	Thy temple wol I worshipe everemo,		I will worship thy temple evermore,
2252	And on thyn auter, where I ride or go,		And on thy altar, whether I ride or walk (whatever I do),
2253	I wol doon sacrifice and fires beete.		I will do sacrifice and kindle fires.
2254	And if ye wol nat so, my lady sweete,		And if you will not (do) so, my lady sweet,
2255	Thanne preye I thee, tomorwe with a spere		Then I pray thee, tomorrow with a spear
2256	That Arcita me thurgh the herte bere.		That Arcite stab me through the heart.
2257	Thanne rekke I noght, whan I have lost my lyf,		Then I care not, when I have lost my life,
2258	Though that Arcita wynne hire to his wyf.		Though Arcite win her to be his wife.
2259	This is th'effect and ende of my preyere:		This is the substance and goal of my prayer:
2260	Yif me my love, thow blisful lady deere."		Give me my love, thou blessed dear lady."
2261	Whan the orison was doon of Palamon,		When the prayer of Palamon was done,
2262	His sacrifice he dide, and that anon,		He did his sacrifice, and that quickly,
2263	Ful pitously, with alle circumstaunces,		Full piteously, with all due ceremony,
2264	Al telle I noght as now his observaunces;		Although I tell not now his observances;
2265	But atte laste the statue of Venus shook,		But at the last the statue of Venus shook,
2266	And made a signe, wherby that he took		And made a sign, whereby he understood
2267	That his preyere accepted was that day.		That his prayer was accepted that day.
2268	For thogh the signe shewed a delay,		For though the sign showed a delay,
2269	Yet wiste he wel that graunted was his boone,		Yet he knew well that his request was granted,
2270	And with glad herte he wente hym hoom ful soone.		And with glad heart he went home very soon.
2271	The thridde houre inequal that Palamon		The third planetary hour after Palamon
2272	Bigan to Venus temple for to gon,		Began to go to Venus' temple,
2273	Up roos the sonne, and up roos Emelye		Up rose the sun, and up rose Emelye
2274	And to the temple of Dyane gan hye.		And to the temple of Diana did hasten.
2275	Hir maydens, that she thider with hire ladde,		Her maidens, whom she led thither with her,
2276	Ful redily with hem the fyr they hadde,		They had the fire full readily with them,
2277	Th'encens, the clothes, and the remenant al		The incense, the cloths, and all the rest
2278	That to the sacrifice longen shal;		That is needed for the sacrifice;
2279	The hornes fulle of meeth, as was the gyse --		The horns full of mead, as was the custom --
2280	Ther lakked noght to doon hir sacrifise.		There lacked nothing (needed) to do her sacrifice.
2281	Smokynge the temple, ful of clothes faire,		The temple smoking (with incense), full of fair cloths,
2282	This Emelye, with herte debonaire,		This Emelye, with gentle heart,
2283	Hir body wessh with water of a welle.		Washed her body with water of a well.
2284	But hou she dide hir ryte I dar nat telle,		But how she did her rite I dare not tell,
2285	But it be any thing in general;		Unless it be some thing in general;
2286	And yet it were a game to heeren al.		And yet it would be a pleasure to hear all.
2287	To hym that meneth wel it were no charge;		To one who means well it would be no matter of concern;
2288	But it is good a man been at his large.		But it is good for a man to be without restriction (speak freely).
2289	Hir brighte heer was kembd, untressed al;		Her bright hair was combed, all loose;
2290	A coroune of a grene ook cerial		A crown of an evergreen oak
2291	Upon hir heed was set ful fair and meete.		Was set upon her head full fair and suitable.
2292	Two fyres on the auter gan she beete,		Two fires on the altar did she kindle,
2293	And dide hir thynges, as men may biholde		And did her duties, as men can behold
2294	In Stace of Thebes and thise bookes olde.		In Statius' Thebaid and such old books.
2295	Whan kyndled was the fyr, with pitous cheere		When the fire was kindled, with a pitiful expression
2296	Unto Dyane she spak as ye may heere:		Unto Diana she spoke as you may hear:
2297	"O chaste goddesse of the wodes grene,		"O chaste goddess of the green woods,
2298	To whom bothe hevene and erthe and see is sene,		To whom both heaven and earth and sea is visible,
2299	Queene of the regne of Pluto derk and lowe,		Queen of the dark and low reign of Pluto,
2300	Goddesse of maydens, that myn herte hast knowe		Goddess of maidens, whom my heart hast known
2301	Ful many a yeer, and woost what I desire,		Full many a year, and knowest what I desire,
2302	As keepe me fro thy vengeaunce and thyn ire,		Keep me from thy vengeance and thy ire,
2303	That Attheon aboughte cruelly.		Which Acteon paid for cruelly.
2304	Chaste goddesse, wel wostow that I		Chaste goddess, well knowest thou that I
2305	Desire to ben a mayden al my lyf,		Desire to be a maiden all my life,
2306	Ne nevere wol I be no love ne wyf.		Nor never will I be no lover nor wife.
2307	I am, thow woost, yet of thy compaignye,		I am, thou knowest, yet of thy company,
2308	A mayde, and love huntynge and venerye,		A maiden, and love hunting and the chase,
2309	And for to walken in the wodes wilde,		And to walk in the wild woods,
2310	And noght to ben a wyf and be with childe.		And not to be a wife and be with child.
2311	Noght wol I knowe compaignye of man.		I do not desire to know company of man.
2312	Now help me, lady, sith ye may and kan,		Now help me, lady, since you can and know how,
2313	For tho thre formes that thou hast in thee.		For those three forms that thou hast in thee.
2314	And Palamon, that hath swich love to me,		And Palamon, that has such love to me,
2315	And eek Arcite, that loveth me so soore,		And also Arcite, who loves me so painfully,
2316	This grace I preye thee withoute moore,		This grace I pray thee and ask no more,
2317	As sende love and pees bitwixe hem two,		Send love and peace between them two,
2318	And fro me turne awey hir hertes so		And turn away their hearts from me so
2319	That al hire hoote love and hir desir,		That all their hot love and their desire,
2320	And al hir bisy torment, and hir fir		And all their intense torment, and their fire
2321	Be queynt, or turned in another place.		Will be quenched, or turned to another place.
2322	And if so be thou wolt nat do me grace,		And if it so be thou wilt not do me grace,
2323	Or if my destynee be shapen so		Or if my destiny is shaped so
2324	That I shal nedes have oon of hem two,		That I must by necessity have one of them two,
2325	As sende me hym that moost desireth me.		Send me him who most desires me.
2326	Bihoold, goddesse of clene chastitee,		Behold, goddess of clean chastity,
2327	The bittre teeris that on my chekes falle.		The bitter tears that fall on my cheeks.
2328	Syn thou art mayde and kepere of us alle,		Since thou art maiden and guardian of us all,
2329	My maydenhede thou kepe and wel conserve,		Thou care for and well conserve my maidenhood,
2330	And whil I lyve, a mayde I wol thee serve."		And while I live, as a maiden I will serve thee."
2331	The fires brenne upon the auter cleere,		The fires burn brightly upon the altar,
2332	Whil Emelye was thus in hir preyere.		While Emelye was thus in her prayer.
2333	But sodeynly she saugh a sighte queynte,		But suddenly she saw a curious sight,
2334	For right anon oon of the fyres queynte		For right away one of the fires quenched
2335	And quyked agayn, and after that anon		And rekindled again, and after that straightway
2336	That oother fyr was queynt and al agon;		That other fire was quenched and all gone;
2337	And as it queynte it made a whistelynge,		And as it quenched it made a roaring sound,
2338	As doon thise wete brondes in hir brennynge,		As these wet brands do in their burning,
2339	And at the brondes ende out ran anon		And at the brand's end (the fire) ran out straightway
2340	As it were blody dropes many oon;		As if it were many bloody drops;
2341	For which so soore agast was Emelye		For which so sorely frightened was Emelye
2342	That she was wel ny mad and gan to crye,		That she was well nigh mad and began to cry,
2343	For she ne wiste what it signyfied,		For she did not know what it signified,
2344	But oonly for the feere thus hath she cried,		But simply for fear has she cried thus,
2345	And weep that it was pitee for to heere.		And wept that it was a pity to hear.
2346	And therwithal Dyane gan appeere,		And right then Diana did appear,
2347	With bowe in honde, right as an hunteresse,		With bow in hand, just like a huntress,
2348	And seyde, "Doghter, stynt thyn hevynesse.		And said, "Daughter, cease thy sadness.
2349	Among the goddes hye it is affermed,		Among the high gods it is affirmed,
2350	And by eterne word writen and confermed,		And by eternal word written and confirmed,
2351	Thou shalt ben wedded unto oon of tho		Thou shalt be wedded unto one of those
2352	That han for thee so muchel care and wo,		Who have for thee so much care and woe,
2353	But unto which of hem I may nat telle.		But unto which of them I may not tell.
2354	Farwel, for I ne may no lenger dwelle.		Farwell, for I can stay no longer .
2355	The fires which that on myn auter brenne		The fires which burn on my altar
2356	Shulle thee declaren, er that thou go henne,		Shall declare to thee, before thou go hence,
2357	Thyn aventure of love, as in this cas."		Thy destiny concerning love, as in this situation."
2358	And with that word, the arwes in the caas		And with that word, the arrows in the quiver
2359	Of the goddesse clateren faste and rynge,		Of the goddess clatter fast and ring,
2360	And forth she wente and made a vanysshynge;		And forth she went and vanished;
2361	For which this Emelye astoned was,		For which this Emelye was astonished,
2362	And seyde, "What amounteth this, allas?		And said, "What does this mean, alas?
2363	I putte me in thy proteccioun,		I put me in thy protection,
2364	Dyane, and in thy disposicioun."		Diana, and in thy power."
2365	And hoom she goth anon the nexte weye.		And home she goes at once the nearest way.
2366	This is th'effect; ther is namoore to seye.		This is the substance; there is no more to say.
2367	The nexte houre of Mars folwynge this,		The next (planetary) hour of Mars following this,
2368	Arcite unto the temple walked is		Arcite has walked unto the temple
2369	Of fierse Mars to doon his sacrifise,		Of fierce Mars to do his sacrifice,
2370	With alle the rytes of his payen wyse.		With all the rites of his pagan manner (of worship).
2371	With pitous herte and heigh devocioun,		With sorrowful heart and intense devotion,
2372	Right thus to Mars he seyde his orisoun:		Right thus to Mars he said his prayer:
2373	"O stronge god, that in the regnes colde		"O strong god, who in the cold reigns
2374	Of Trace honoured art and lord yholde,		Of Thrace art honored and considered lord,
2375	And hast in every regne and every lond		And hast in every reign and every land
2376	Of armes al the brydel in thyn hond,		All the control of arms in thy hand,
2377	And hem fortunest as thee lyst devyse,		And grants them fortune as it pleases thee to command.
2378	Accepte of me my pitous sacrifise.		Accept of me my sorrowful sacrifice.
2379	If so be that my youthe may deserve,		If it so be that my youth may deserve,
2380	And that my myght be worthy for to serve		And that my power be worthy to serve
2381	Thy godhede, that I may been oon of thyne,		Thy godhead, so that I may be one of thine,
2382	Thanne preye I thee to rewe upon my pyne.		Then pray I thee to have pity upon my pain.
2383	For thilke peyne and thilke hoote fir		For that same pain and that same hot fire
2384	In which thow whilom brendest for desir,		In which thou once burned for desire,
2385	Whan that thow usedest the beautee		When that thou enjoyed the beauty
2386	Of faire, yonge, fresshe Venus free,		Of fair, young, fresh Venus the noble,
2387	And haddest hire in armes at thy wille --		And haddest her in arms as you wished --
2388	Although thee ones on a tyme mysfille,		Although once things went wrong for you,
2389	Whan Vulcanus hadde caught thee in his las		When Vulcan had caught thee in his snare
2390	And foond thee liggynge by his wyf, allas! --		And found thee lying by his wife, alas! --
2391	For thilke sorwe that was in thyn herte,		For that same sorrow that was in thy heart,
2392	Have routhe as wel upon my peynes smerte.		Have pity as well upon my painful sufferings.
2393	I am yong and unkonnynge, as thow woost,		I am young and ignorant, as thou knowest,
2394	And, as I trowe, with love offended moost		And, as I suppose, injured most by love
2395	That evere was any lyves creature,		Than ever was any living creature,
2396	For she that dooth me al this wo endure		For she that causes me to endure all this woe
2397	Ne reccheth nevere wher I synke or fleete.		Nor cares never whether I sink or swim.
2398	And wel I woot, er she me mercy heete,		And well I know, before she may promise me mercy,
2399	I moot with strengthe wynne hire in the place,		I must win her with strength in the lists,
2400	And wel I woot, withouten help or grace		And well I know, without help or grace
2401	Of thee ne may my strengthe noght availle.		Of thee my strength can not avail.
2402	Thanne help me, lord, tomorwe in my bataille,		Then help me, lord, tomorrow in my battle,
2403	For thilke fyr that whilom brente thee,		For that same fire that once burned thee,
2404	As wel as thilke fyr now brenneth me,		As well as that same fire now burns me,
2405	And do that I tomorwe have victorie.		And bring it about so that I have victory tomorrow.
2406	Myn be the travaille, and thyn be the glorie!		Mine be the labor, and thine be the glory!
2407	Thy sovereyn temple wol I moost honouren		I will most honor thy most excellent temple
2408	Of any place, and alwey moost labouren		Over any place, and always most labor
2409	In thy plesaunce and in thy craftes stronge,		In thy pleasure and in thy strong crafts,
2410	And in thy temple I wol my baner honge		And in thy temple I will hang my banner
2411	And alle the armes of my compaignye,		And all the arms of my company,
2412	And everemo, unto that day I dye,		And evermore, until that day I die,
2413	Eterne fir I wol bifore thee fynde.		Eternal fire I will provide before thee (on your altar).
2414	And eek to this avow I wol me bynde:		And also I will bind myself to this vow:
2415	My beerd, myn heer, that hongeth long adoun,		My beard, my hair, that hangs long down,
2416	That nevere yet ne felte offensioun		That never yet felt injury
2417	Of rasour nor of shere, I wol thee yive,		Of razor nor of shears, I will give thee,
